epoch,country,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion
1584806078475,China,81008,41,3255,7,71740,6013,1927,56
1584806078500,Italy,47021,0,4032,0,5129,37860,2655,778
1584806078537,Spain,25374,3803,1378,285,2125,21871,939,543
1584806078556,Germany,21652,1804,75,7,209,21368,2,258
1584806078568,Iran,20610,966,1556,123,7635,11419,0,245
1584806078579,USA,19969,586,279,23,147,19543,64,60
1584806078589,France,12612,0,450,0,1587,10575,1297,193
1584806078612,"S. Korea",8799,147,102,8,2612,6085,59,172
1584806078623,Switzerland,6186,571,58,2,15,6113,141,715
1584806078635,UK,4094,111,177,0,65,3852,20,60
1584806078645,Netherlands,3631,637,136,30,2,3493,210,212
1584806078656,Belgium,2815,558,67,30,263,2485,288,243
1584806078667,Austria,2814,165,8,2,9,2797,15,312
1584806078687,Norway,2044,85,7,0,1,2036,28,377
1584806078698,Sweden,1764,125,20,4,16,1728,69,175
1584806078709,Denmark,1326,71,13,4,1,1312,42,229
1584806078718,Portugal,1280,260,12,6,5,1263,26,126
1584806078729,Malaysia,1183,153,8,5,114,1061,26,37
1584806078748,Canada,1087,0,13,1,14,1060,1,29
1584806078759,Australia,1072,144,7,0,46,1019,2,42
1584806078768,Brazil,1021,51,12,1,2,1007,18,5
1584806078778,Japan,1007,0,35,0,215,757,50,8
1584806078789,Czechia,925,92,0,0,5,920,7,86
1584806078798,Israel,883,178,1,0,36,846,15,102
1584806078820,Pakistan,720,219,3,0,13,704,0,3
1584806078830,"Diamond Princess",712,0,8,0,567,137,15,0
1584806078840,Ireland,683,0,3,0,5,675,6,138
1584806078850,Turkey,670,0,9,0,0,661,0,8
1584806078860,Luxembourg,670,186,8,3,6,656,3,1070
1584806078871,Chile,537,103,0,0,8,529,7,28
1584806078891,Finland,521,71,1,1,10,510,2,94
1584806078901,Greece,495,0,13,3,19,463,20,47
1584806078911,Iceland,473,64,0,0,5,468,1,1386
1584806078922,Qatar,470,0,0,0,10,460,6,163
1584806078932,Poland,452,27,5,0,13,434,3,12
1584806078950,Indonesia,450,81,38,6,20,392,0,2
1584806078960,Singapore,432,47,2,2,140,290,14,74
1584806078970,Ecuador,426,0,7,0,3,416,2,24
1584806078981,Thailand,411,89,1,0,44,366,7,6
1584806078990,"Saudi Arabia",392,48,0,0,16,376,0,11
1584806079000,Slovenia,383,42,1,0,0,382,12,184
1584806079020,Romania,367,59,0,0,52,315,14,19
1584806079031,Philippines,307,77,19,1,13,275,1,3
1584806079040,Russia,306,53,1,0,16,289,0,2
